original-id,name-tr,name-alt-tr,address-tr,country-tr,province-tr,district-tr,sub-district-tr,locality-tr,street-tr,street-side-tr,house,address-add-tr,landmark-tr,lon,lat,phone,url,rubric-id,working-time,actualization-date,rubric-keys,source-url,rubric-tr,chain-id
,Kahve Dünyası - Adana Ziyapaşa,,Kurtulus mh.Ziyaşa Bulvari 17/A-B Seyhan 1000 Seyhan,Türkiye,Adana,,,,,,,,,35.320587,36.999386,+90 (322) 4577772,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası Balıkesir Yaylada AVM,,Paşa Alanı Mah. Bandırma Cad. No:114/A  10200 Bandırma,Türkiye,Balıkesir,,,,,,,,,27.904421,39.656180,+90 (266) 2340301,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası Tekirdağ Tekira AVM,,Aydoğdu Mah. Hükümet Cad. No:304 Z24 No’lu Alan  59760 Merkez,Türkiye,Tekirdağ,,,,,,,,,27.49980,40.97613,+90 (282) 2629491,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Antakya Palladium Avm,,Haraparası Mah. İzzet Güçlü Sok. Palladium Alışveriş Merkezi Antakya No:26 K:Zemin D:12 31060 Antakya,Türkiye,Hatay,,,,,,,,,36.163161,36.208516,+90 (326) 2903081,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Şanlıurfa Piazza Avm,,Karakoyunlu Mah. 11 Nisan Fuar Cad. Piazza Alışveriş ve Yaşam Merkezi No:42 K:Giriş 63100 Merkez,Türkiye,Şanlıurfa,,,,,,,,,38.780127,37.157734,+90 (414) 2160704,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Çanakkale 17 Burda AVM Kahve Dünyası,,Barbaros Mah. Atatürk Cad. No:207 Çanakkale 17020 Merkez,Türkiye,Çanakkale,,,,,,,,,26.410516,40.123795,+90 (286) 2200377,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası Park Afyon AVM,,Güvenevler Mah. Mareşal Fevzi Çakmak Bulvarı 2096 sk.No:2  3030 Afyonkarahisar,Türkiye,Afyon,,,,,,,,,30.554640,38.755190,+90 (272) 2220102,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Kütahya Sera AVM,,Akkent Mah. Bağımsız Bölüm Eskişehir Yolu 1. Km. Sera Kütahya Alışveriş ve Yaşam Merkezi No:1 K:Zemin D:8 43000 Merkez,Türkiye,Kütahya,,,,,,,,,29.99514,39.435563,+90 (274) 2252334,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Mersin Forum AVM,,Güvenevler Mah. 20. Cad. Forum Mersin No:120/133 K:Giriş 33140 Yenişehir,Türkiye,İçel(Mersin),,,,,,,,,34.589305,36.783764,+90 (324) 3315337,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
,Kahve Dünyası - Mersin Marina,,Eğriçam Mah. Adnan Menderes Bulv. No: 33/F 33110 Yenişehir,Türkiye,İçel(Mersin),,,,,,,,,34.568527,36.771592,+90 (324) 3312026,http://www.kahvedunyasi.com/magazalarimiz/,,,,,,,
